""	"RTS_ID"	"TargetName"	"Module"	"CodeClass"	"ProbeID"	"Negative"
"RTS0021097"	"RTS0021097"	"PCCA"	"TAP_H_WTA_v1.0"	"Endogenous"	"35809"	FALSE
"RTS0021098"	"RTS0021098"	"PDE6B"	"TAP_H_WTA_v1.0"	"Endogenous"	"35810"	FALSE
"RTS0021099"	"RTS0021099"	"PDHA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35811"	FALSE
"RTS0021100"	"RTS0021100"	"PEPD"	"TAP_H_WTA_v1.0"	"Endogenous"	"35812"	FALSE
"RTS0021101"	"RTS0021101"	"PEX12"	"TAP_H_WTA_v1.0"	"Endogenous"	"35813"	FALSE
"RTS0021102"	"RTS0021102"	"PEX6"	"TAP_H_WTA_v1.0"	"Endogenous"	"35814"	FALSE
"RTS0021103"	"RTS0021103"	"PEX7"	"TAP_H_WTA_v1.0"	"Endogenous"	"35815"	FALSE
"RTS0021104"	"RTS0021104"	"PFKM"	"TAP_H_WTA_v1.0"	"Endogenous"	"35816"	FALSE
"RTS0021106"	"RTS0021106"	"PGK1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35817"	FALSE
"RTS0021107"	"RTS0021107"	"PHKA2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35818"	FALSE
"RTS0021108"	"RTS0021108"	"PHKB"	"TAP_H_WTA_v1.0"	"Endogenous"	"35819"	FALSE
"RTS0021109"	"RTS0021109"	"PHKG2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35820"	FALSE
"RTS0021110"	"RTS0021110"	"SERPINA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35821"	FALSE
"RTS0021111"	"RTS0021111"	"PKD2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35822"	FALSE
"RTS0021112"	"RTS0021112"	"PKP1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35823"	FALSE
"RTS0021113"	"RTS0021113"	"PLA2G2A"	"TAP_H_WTA_v1.0"	"Endogenous"	"35824"	FALSE
"RTS0021114"	"RTS0021114"	"PLOD1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35825"	FALSE
"RTS0021115"	"RTS0021115"	"PMM2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35826"	FALSE
"RTS0021116"	"RTS0021116"	"PMP22"	"TAP_H_WTA_v1.0"	"Endogenous"	"35827"	FALSE
"RTS0021117"	"RTS0021117"	"PON2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35828"	FALSE
"RTS0021118"	"RTS0021118"	"POU1F1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35829"	FALSE
"RTS0021119"	"RTS0021119"	"POU3F4"	"TAP_H_WTA_v1.0"	"Endogenous"	"35830"	FALSE
"RTS0021121"	"RTS0021121"	"PRNP"	"TAP_H_WTA_v1.0"	"Endogenous"	"35831"	FALSE
"RTS0021122"	"RTS0021122"	"PROC"	"TAP_H_WTA_v1.0"	"Endogenous"	"35832"	FALSE
"RTS0021123"	"RTS0021123"	"PROS1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35833"	FALSE
"RTS0021125"	"RTS0021125"	"PTH"	"TAP_H_WTA_v1.0"	"Endogenous"	"35834"	FALSE
"RTS0021126"	"RTS0021126"	"PTH1R"	"TAP_H_WTA_v1.0"	"Endogenous"	"35835"	FALSE
"RTS0021127"	"RTS0021127"	"PTS"	"TAP_H_WTA_v1.0"	"Endogenous"	"35836"	FALSE
"RTS0021128"	"RTS0021128"	"PEX2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35837"	FALSE
"RTS0021129"	"RTS0021129"	"QDPR"	"TAP_H_WTA_v1.0"	"Endogenous"	"35838"	FALSE
"RTS0021130"	"RTS0021130"	"RB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"35839"	FALSE
"RTS0021131"	"RTS0021131"	"PRPH2"	"TAP_H_WTA_v1.0"	"Endogenous"	"35840"	FALSE
"RTS0021132"	"RTS0021132"	"RHAG"	"TAP_H_WTA_v1.0"	"Endogenous"	"35841"	FALSE
